año,nombre,posicion,posicon_continuo,club,pais,pais_continuo,partidos_jugados,goles,goles_continuo,debut_mundialista,debut_continuo,cantidad_mundiales,mundiales_continuo,imagen,FALTAN LOS ENTRENADORES,
2022,Emiliano Martínez,Arquero,0.448,Aston Villa,Inglaterra,4.384,7,0,0.228,si,1.842,1,0.777,images/2022/emilianomartinez.png,,unico arquero en debutar en mundial que sea el arquero titular
2022,Gerónimo Rulli,Arquero,0.453,Villarreal,España,1.372,0,0,0.167,si,2.266,1,0.789,images/2022/geronimorulli.png,,
2022,Franco Armani,Arquero,0.698,River Plate,Argentina,0.302,0,0,0.200,no,0.874,2,1.915,images/2022/francoarmani.png,,
2022,Gonzalo Montiel,Defensor,1.605,Sevilla,España,1.555,4,0,0.239,si,1.941,1,1.133,images/2022/gonzalomontiel.png,,
2022,Nicolás Otamendi,Defensor,1.499,Benfica,Portugal,5.312,7,0,0.193,no,0.790,3,3.000,images/2022/nicolasotamendi.png,,no jugo 2014
2022,Nahuel Molina Lucero,Defensor,1.670,Atlético Madrid,España,1.588,7,1,1.000,si,2.059,1,0.787,images/2022/nahuelmolina.png,,
2022,Cristian Romero,Defensor,1.380,Tottenham,Inglaterra,4.366,7,0,0.003,si,1.767,1,1.281,images/2022/cristianromero.png,,
2022,Germán Pezzella,Defensor,1.649,Betis,España,1.529,3,0,0.135,si,2.237,1,1.269,images/2022/germanpezzella.png,,
2022,Lisandro Martínez,Defensor,1.346,Manchester United,Inglaterra,4.372,5,0,0.170,si,2.163,1,1.242,images/2022/lisandromartinez.png,,
2022,Marcos Acuña,Defensor,1.631,Sevilla,España,1.457,6,0,0.165,no,0.770,2,2.112,images/2022/marcosacuna.png,,
2022,Nicolás Tagliafico,Defensor,1.563,Lyon,Francia,3.300,6,0,0.112,no,0.873,2,2.279,images/2022/nicolastagliafico.png,,
2022,Juan Foyth,Defensor,1.402,Villarreal,España,1.333,1,0,0.105,si,2.241,1,1.267,images/2022/juanfoyth.png,,
2022,Leandro Paredes,Mediocampista,2.497,Juventus,Italia,2.539,5,0,0.277,si,1.906,1,1.164,images/2022/leandroparedes.png,,
2022,Guido Rodriguez,Mediocampista,2.350,Betis,España,1.360,1,0,0.216,si,2.228,1,1.181,images/2022/guidorodriguez.png,,
2022,Rodrigo De Paul,Mediocampista,2.680,Atlético Madrid,España,1.315,7,0,0.046,si,1.785,1,0.915,images/2022/rodrigodepaul.png,,
2022,Exequiel Palacios,Mediocampista,2.651,Bayer Leverkusen,Alemania,5.344,3,0,0.124,si,1.742,1,1.132,images/2022/exequielpalacios.png,,
2022,Alexis MacAllister,Mediocampista,2.369,Brighton,Inglaterra,4.462,6,1,1.000,si,1.813,1,1.063,images/2022/alexismacallister.png,,
2022,Enzo Fernández,Mediocampista,2.433,Benfica,Portugal,5.304,7,1,1.000,si,1.718,1,0.909,images/2022/enzofernandez.png,,
2022,Ángel Di María,Mediocampista,2.334,Juventus,Italia,2.634,5,1,1.000,no,0.943,4,4.000,images/2022/angeldimaria.png,,
2022,Alejandro Gómez,Mediocampista,2.385,Sevilla,España,1.526,2,0,0.167,si,1.774,1,1.228,images/2022/alejandrogomez.png,,
2022,Thiago Almada,Mediocampista,2.462,Atlanta United,Estados Unidos,5.312,1,0,0.219,si,2.169,1,1.009,images/2022/thiagoalmada.png,,
2022,Ángel Correa,Delantero,3.409,Atlético de Madrid,España,1.364,1,0,0.262,si,2.286,1,1.267,images/2022/angelcorrea.png,,
2022,Julián Álvarez,Delantero,3.667,Manchester City,Inglaterra,4.642,7,4,4.000,si,2.053,1,0.976,images/2022/julianalvarez.png,,
2022,Lautaro Martínez,Delantero,3.679,Inter,Italia,2.470,6,0,0.030,si,2.021,1,1.273,images/2022/lautaromartinez.png,,
2022,Lionel Messi,Delantero,3.344,Paris Saint-Germain,Francia,3.382,7,7,7.000,no,0.864,5,5.000,images/2022/lionelmessi.png,,
2022,Paulo Dybala,Delantero,3.421,Roma,Italia,2.559,2,0,0.064,no,0.986,2,1.772,images/2022/paulodybala.png,,
1986,Luis Islas,Arquero,0.607,Estudiantes de La Plata ,Argentina,0.438,0,0,0.186,si,1.748,2,1.930,images/1986/luisislas.png,,
1986,Nery Pumpido,Arquero,0.486,River Plate ,Argentina,0.349,7,0,0.169,no,1.107,3,3.000,images/1986/nerypumpido.png,,
1986,Héctor Miguel Zelada,Arquero,0.538,América,Mexico,5.328,0,0,0.241,si,2.029,1,0.920,images/1986/hectorzelada.png,,
1986,José Luis Brown,Defensor,1.306,Dep. Español,Argentina,0.336,7,1,1.000,si,2.295,1,1.232,images/1986/josebrown.png,,
1986,Nestor Clausen,Defensor,1.547,Independiente,Argentina,0.643,1,0,0.248,si,1.799,1,1.291,images/1986/nestorclausen.png,,
1986,Daniel Passarella,Defensor,1.523,Fiorentina,Italia,2.473,0,0,0.164,no,0.970,3,3.000,images/1986/danielpassarella.png,,dos veces campeon del mundo
1986,Óscar Ruggeri,Defensor,1.481,River Plate,Argentina,0.593,7,1,1.000,si,1.763,3,3.000,images/1986/oscarruggeri.png,,
1986,Oscar Garre,Defensor,1.427,Ferro Carril Oeste,Argentina,0.402,6,0,0.134,si,1.999,1,1.172,images/1986/oscargarre.png,,
1986,Julio Olarticoechea,Defensor,1.510,Boca Juniors,Argentina,0.549,4,0,0.044,no,0.781,3,3.000,images/1986/julioolarticoechea.png,,
1986,Sergio Batista,Mediocampista,2.370,Argentinos,Argentina,0.589,7,0,0.190,si,2.289,2,1.808,images/1986/sergiobatista.png,,
1986,José Cuciuffo,Mediocampista,2.641,Vélez Sarsfield,Argentina,0.333,7,0,0.238,si,2.106,1,0.719,images/1986/josecuciuffo.png,,
1986,Claudio Borghi,Mediocampista,2.326,Argentinos,Argentina,0.468,2,1,1.000,si,2.169,1,0.800,images/1986/claudioborghi.png,,
1986,Jorge Luís Burruchaga,Mediocampista,2.595,Nantes ,Francia,3.414,7,2,2.000,si,2.117,2,2.091,images/1986/jorgeburruchaga.png,,
1986,Héctor Enrique,Mediocampista,2.612,River Plate,Argentina,0.515,5,0,0.257,si,2.090,1,1.084,images/1986/hectorenrique.png,,
1986,Ricardo Giusti,Mediocampista,2.521,Independiente,Argentina,0.622,7,0,0.162,si,2.002,2,2.296,images/1986/ricardogiusti.png,,
1986,Ricardo Bochini,Mediocampista,2.558,Independiente,Argentina,0.405,1,0,0.033,si,1.895,1,1.062,images/1986/ricardobochini.png,,
1986,Carlos Tapia,Mediocampista,2.598,Boca Juniors,Argentina,0.611,2,1,1.000,si,2.035,1,1.244,images/1986/carlostapia.png,,
1986,Marcelo Trobbiani,Mediocampista,2.498,Elche,España,1.614,1,0,0.054,si,1.985,1,1.081,images/1986/marcelotrobbiani.png,,
1986,Diego Armando Maradona,Mediocampista,2.542,Napoli,Italia,2.666,7,7,7.000,no,0.770,4,4.000,images/1986/diegomaradona.png,,como entrenador estuvo en 1
1986,Sergio Omar Almiron,Delantero,3.422,Newell's Old Boys,Argentina,0.513,0,3,3.000,si,2.148,1,0.842,images/1986/sergioalmiron.png,,
1986,Pedro Pasculli,Delantero,3.571,Lecce,Italia,2.581,2,1,1.000,si,2.084,1,1.241,images/1986/pedropasculli.png,,
1986,Jorge Valdano,Delantero,3.521,Real Madrid ,España,1.338,7,4,4.000,no,1.173,2,2.171,images/1986/jorgevaldano.png,,
1978,Héctor Baley,Arquero,0.514,Huracán,Argentina,0.432,0,0,0.104,si,1.727,2,1.994,images/1978/hectorbaley.png,,
1978,Ubaldo Fillol,Arquero,0.520,River Plate,Argentina,0.616,7,0,0.042,no,1.064,3,3.000,images/1978/ubaldofillol.png,,
1978,Ricardo La Volpe,Arquero,0.547,San Lorenzo,Argentina,0.615,0,0,0.109,si,1.742,1,0.924,images/1978/ricardolavolpe.png,,
1978,Daniel Passarella,Defensa,3.476,River Plate,Argentina,0.426,7,1,1.000,si,1.757,3,3.000,images/1978/danielpassarella.png,,como entrenador estuvo en 1
1978,Alberto Tarantini,Defensa,3.596,Boca Juniors,Argentina,0.336,7,1,1.000,si,1.898,2,1.790,images/1978/albertotarantini.png,,
1978,Miguel Oviedo,Defensa,3.559,Talleres de Córdoba,Argentina,0.378,1,0,0.148,si,2.056,1,1.276,images/1978/migueloviedo.png,,
1978,Luis Galván,Defensa,3.554,Talleres de Córdoba,Argentina,0.681,7,0,0.049,si,2.115,2,1.808,images/1978/luisgalvan.png,,
1978,Daniel Killer,Defensa,3.406,Racing,Argentina,0.472,0,0,0.146,si,2.013,1,0.839,images/1978/danielkiller.png,,
1978,Jorge Olguin,Defensa,3.587,San Lorenzo,Argentina,0.635,7,0,0.165,si,1.809,2,1.964,images/1978/jorgeolguin.png,,
1978,Oscar Rúben Pagnanini,Defensa,3.443,Independiente,Argentina,0.576,0,0,0.159,si,1.998,1,1.050,images/1978/oscarpagnanini.png,,
1978,Osvaldo Ardiles,Mediocampista,2.305,Huracán,Argentina,0.511,6,0,0.165,si,2.262,2,1.760,images/1978/osvaldoardiles.png,,
1978,Américo Gallego,Mediocampista,2.661,Newell's Old Boys,Argentina,0.686,7,0,0.281,si,2.167,2,2.235,images/1978/americogallego.png,,
1978,Rubén Galván,Mediocampista,2.689,Independiente,Argentina,0.374,0,0,0.238,si,2.046,1,1.187,images/1978/rubengalvan.png,,
1978,Oscar Ortiz,Mediocampista,2.555,River Plate,Argentina,0.459,6,0,0.096,si,1.760,1,1.244,images/1978/oscarortiz.png,,
1978,Jose Daniel Valencia,Mediocampista,2.342,Talleres,Argentina,0.610,4,0,0.199,si,1.705,2,2.031,images/1978/josevalencia.png,,
1978,Ricardo Villa,Mediocampista,2.379,Racing Club,Argentina,0.564,2,0,0.045,si,2.036,1,0.817,images/1978/ricardovilla.png,,
1978,Norberto Alonso,Mediocampista,2.657,River Plate,Argentina,0.442,3,0,0.263,si,2.176,1,0.787,images/1978/norbertoalonso.png,,por este chabon no llevaron a maradona :(
1978,Omar Larrosa,Mediocampista,2.529,Independiente,Argentina,0.534,2,0,0.267,si,2.173,1,0.852,images/1978/omarlarrosa.png,,
1978,Leopoldo Luque,Delantero,3.660,River Plate,Argentina,0.666,5,4,4.000,si,1.902,1,1.045,images/1978/leopoldoluque.png,,
1978,Mario Kempes,Delantero,3.327,Valencia CF,España,1.550,7,6,6.000,no,1.237,3,3.000,images/1978/mariokempes.png,,
1978,Daniel Bertoni,Delantero,3.377,Sevilla FC,España,1.324,6,2,2.000,si,2.158,2,2.187,images/1978/danielbertoni.png,,
1978,René Houseman,Delantero,3.459,Huracán,Argentina,0.532,6,1,1.000,no,0.917,1,0.845,images/1978/renehouseman.png,,
